Name of the Movie,Year,Rate,Metascore,Votes,n_Rate
Ford v Ferrari,2019,8.1,81,390235,81.0
Jojo Rabbit,2019,7.9,58,386620,79.0
The Irishman,2019,7.8,94,386153,78.0
John Wick: Chapter 3 - Parabellum,2019,7.4,73,342223,74.0
The Gentlemen,2019,7.8,51,336840,78.0
Shazam!,2019,7.0,71,336295,70.0
Midsommar,2019,7.1,72,319168,71.0
Marriage Story,2019,7.9,94,307821,79.0
Us,2019,6.8,81,298022,68.0
Uncut Gems,2019,7.4,91,280947,74.0
Alita: Battle Angel,2019,7.3,53,267579,73.0
Aladdin,2019,6.9,53,265614,69.0
It Chapter Two,2019,6.5,58,265309,65.0
Toy Story 4,2019,7.7,84,250166,77.0
Jumanji: The Next Level,2019,6.7,58,250055,67.0
El Camino: A Breaking Bad Movie,2019,7.3,72,248952,73.0
The Lion King,2019,6.8,55,245094,68.0
Glass,2019,6.6,43,243693,66.0
Ad Astra,2019,6.5,80,235691,65.0
El hoyo,2019,7.0,73,224089,70.0
The Lighthouse,2019,7.4,83,216415,74.0
Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,212920,65.0
Little Women,2019,7.8,91,203861,78.0
Doctor Sleep,2019,7.3,59,193339,73.0
Dark Phoenix,2019,5.7,43,187722,57.0
Godzilla: King of the Monsters,2019,6.0,48,183200,60.0
Zombieland: Double Tap,2019,6.7,55,180299,67.0
Terminator: Dark Fate,2019,6.2,54,178181,62.0
6 Underground,2019,6.1,41,176931,61.0
Rocketman,2019,7.3,69,175419,73.0
Frozen II,2019,6.8,64,172362,68.0
Pokémon: Detective Pikachu,2019,6.5,53,163746,65.0
Yesterday,2019,6.8,55,153207,68.0
Ready or Not,2019,6.8,64,151702,68.0
Klaus,2019,8.1,65,148830,81.0
Men in Black: International,2019,5.6,38,135120,56.0
The King,2019,7.3,62,129818,73.0
How to Train Your Dragon: The Hidden World,2019,7.4,71,129447,74.0
Triple Frontier,2019,6.4,61,129227,64.0
Murder Mystery,2019,6.0,38,128781,60.0
Sound of Metal,2019,7.7,82,127755,77.0
The Two Popes,2019,7.6,75,124081,76.0
Escape Room,2019,6.4,48,123304,64.0
Booksmart,2019,7.1,84,119558,71.0
Bombshell,2019,6.8,64,115497,68.0
Gemini Man,2019,5.7,38,114095,57.0
Long Shot,2019,6.8,67,111914,68.0
Maleficent: Mistress of Evil,2019,6.6,43,105789,66.0
Hustlers,2019,6.3,79,100616,63.0
Rambo: Last Blood,2019,6.1,26,99022,61.0
Brightburn,2019,6.1,44,98669,61.0
Angel Has Fallen,2019,6.4,45,98333,64.0
"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,52,95032,67.0
Pet Sematary,2019,5.7,57,92870,57.0
The Highwaymen,2019,6.9,58,91987,69.0
I Am Mother,2019,6.7,64,91575,67.0
Portrait de la jeune fille en feu,2019,8.1,95,91473,81.0
Hellboy,2019,5.2,31,91012,52.0
The Peanut Butter Falcon,2019,7.6,70,90700,76.0
Polar,2019,6.3,19,90629,63.0
Dark Waters,2019,7.6,73,89080,76.0
Richard Jewell,2019,7.5,68,87801,75.0
Midway,2019,6.7,47,86098,67.0
Crawl,2019,6.1,60,85154,61.0
Anna,2019,6.6,40,82617,66.0
Fighting with My Family,2019,7.1,68,81788,71.0
A Beautiful Day in the Neighborhood,2019,7.2,80,80432,72.0
The Dead Don't Die,2019,5.4,53,79102,54.0
Last Christmas,2019,6.5,50,78207,65.0
Scary Stories to Tell in the Dark,2019,6.2,61,77509,62.0
Dumbo,2019,6.3,51,76442,63.0
Annabelle Comes Home,2019,5.9,53,76434,59.0
Fractured,2019,6.4,36,75971,64.0
Happy Death Day 2U,2019,6.2,57,75252,62.0
Charlie's Angels,2019,4.9,52,74055,49.0
Isn't It Romantic,2019,5.9,60,70428,59.0
Cold Pursuit,2019,6.2,57,69738,62.0
Just Mercy,2019,7.6,68,68051,76.0
21 Bridges,2019,6.6,51,67765,66.0
Five Feet Apart,2019,7.2,53,67451,72.0
The Lego Movie 2: The Second Part,2019,6.6,65,67262,66.0
The Farewell,2019,7.5,89,64730,75.0
The Secret Life of Pets 2,2019,6.4,55,62699,64.0
Guns Akimbo,2019,6.3,42,62139,63.0
Velvet Buzzsaw,2019,5.7,61,61828,57.0
Dolemite Is My Name,2019,7.2,76,61216,72.0
The Hustle,2019,5.4,35,60295,54.0
Vivarium,2019,5.8,64,59815,58.0
Dolor y gloria,2019,7.5,87,58592,75.0
Motherless Brooklyn,2019,6.8,60,57870,68.0
In the Tall Grass,2019,5.4,46,57103,54.0
Always Be My Maybe,2019,6.8,64,56953,68.0
Downton Abbey,2019,7.4,64,56732,74.0
After,2019,5.3,30,56073,53.0
Captive State,2019,6.0,54,54771,60.0
Shaft,2019,6.4,40,54069,64.0
Ma,2019,5.6,53,53876,56.0
In the Shadow of the Moon,2019,6.2,48,53752,62.0
Child's Play,2019,5.7,48,52538,57.0
Cats,2019,2.8,32,51622,28.0
The Laundromat,2019,6.3,57,51323,63.0
Judy,2019,6.8,66,51002,68.0
The Curse of La Llorona,2019,5.2,41,50970,52.0
I See You,2019,6.8,65,50153,68.0
The Dirt,2019,7.0,39,50126,70.0
Spies in Disguise,2019,6.8,54,49697,68.0
Togo,2019,7.9,69,49269,79.0
Color Out of Space,2019,6.2,70,48539,62.0
The Lodge,2019,6.0,64,48301,60.0
Official Secrets,2019,7.3,63,48257,73.0
Stuber,2019,6.2,42,47924,62.0
The Professor and the Madman,2019,7.2,27,46444,72.0
The Silence,2019,5.3,25,45869,53.0
A Rainy Day in New York,2019,6.5,38,44618,65.0
The Report,2019,7.2,66,44100,72.0
The Good Liar,2019,6.7,55,42450,67.0
Serenity,2019,5.4,37,41764,54.0
Tolkien,2019,6.8,48,41451,68.0
Tenki no ko,2019,7.5,72,41319,75.0
Bad Education,2019,7.1,79,40566,71.0
Code 8,2019,6.1,48,40420,61.0
Gully Boy,2019,7.9,65,40030,79.0
The Addams Family,2019,5.8,46,39939,58.0
The Vast of Night,2019,6.7,84,39878,67.0
Countdown,2019,5.4,31,39042,54.0
Abominable,2019,7.0,61,38821,70.0
The Boy Who Harnessed the Wind,2019,7.6,68,38732,76.0
The Art of Self-Defense,2019,6.6,65,38003,66.0
Saint Maud,2019,6.7,83,37987,67.0
Late Night,2019,6.5,70,37983,65.0
Honey Boy,2019,7.2,73,37798,72.0
The Informer,2019,6.6,61,37708,66.0
The Outpost,2019,6.8,71,35038,68.0
IO,2019,4.7,40,34611,47.0
The Aeronauts,2019,6.6,60,33907,66.0
J'ai perdu mon corps,2019,7.5,81,33282,75.0
Between Two Ferns: The Movie,2019,6.1,59,33077,61.0
Yip Man 4,2019,7.0,62,32706,70.0
The Art of Racing in the Rain,2019,7.5,43,32010,75.0
Queen & Slim,2019,7.1,74,31966,71.0
Synchronic,2019,6.2,64,31417,62.0
Dora and the Lost City of Gold,2019,6.1,63,31320,61.0
Liu lang di qiu,2019,5.9,57,30823,59.0
The Angry Birds Movie 2,2019,6.4,60,30064,64.0
Haunt,2019,6.3,69,29938,63.0
7500,2019,6.3,58,29477,63.0
What Men Want,2019,5.3,49,28298,53.0
Bacurau,2019,7.3,82,27780,73.0
Tenet,2020,7.3,69,498894,73.0
Soul,2020,8.0,83,327247,80.0
Wonder Woman 1984,2020,5.4,60,266470,54.0
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,6.0,60,238564,60.0
The Invisible Man,2020,7.1,72,228243,71.0
A Quiet Place Part II,2020,7.2,71,226272,72.0
Extraction,2020,6.7,56,202829,67.0
Enola Holmes,2020,6.6,68,182470,66.0
The Trial of the Chicago 7,2020,7.7,76,177212,77.0
Promising Young Woman,2020,7.5,73,172153,75.0
The Old Guard,2020,6.6,70,165011,66.0
Bad Boys for Life,2020,6.5,59,160914,65.0
Nomadland,2020,7.3,92,160587,73.0
Palm Springs,2020,7.4,83,159021,74.0
Druk,2020,7.7,79,156372,77.0
The Father,2020,8.2,88,151842,82.0
Onward,2020,7.4,61,149269,74.0
Mulan,2020,5.7,66,148331,57.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,141105,66.0
Sonic the Hedgehog,2020,6.5,47,139680,65.0
The Devil All the Time,2020,7.1,55,135060,71.0
I Care a Lot,2020,6.3,66,133021,63.0
Love and Monsters,2020,6.9,63,127719,69.0
Greenland,2020,6.4,64,117260,64.0
The Hunt,2020,6.5,50,114965,65.0
Greyhound,2020,7.0,64,97566,70.0
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,94363,65.0
Hamilton,2020,8.4,90,94035,84.0
Project Power,2020,6.0,51,89025,60.0
Spenser Confidential,2020,6.2,49,88867,62.0
News of the World,2020,6.8,73,87211,68.0
I'm Thinking of Ending Things,2020,6.6,78,86740,66.0
The Midnight Sky,2020,5.6,58,83567,56.0
Underwater,2020,5.8,48,83156,58.0
The Social Dilemma,2020,7.6,78,82935,76.0
Minari,2020,7.4,89,81378,74.0
The New Mutants,2020,5.3,43,79939,53.0
Run,2020,6.7,67,79621,67.0
Bloodshot,2020,5.7,44,78307,57.0
Mank,2020,6.8,79,75590,68.0
Unhinged,2020,6.0,40,69054,60.0
The King of Staten Island,2020,7.1,67,68421,71.0
Boss Level,2020,6.8,56,67835,68.0
Holidate,2020,6.1,44,65901,61.0
Dolittle,2020,5.6,26,65009,56.0
The Courier,2020,7.1,65,61468,71.0
Monster Hunter,2020,5.2,47,59271,52.0
Freaky,2020,6.3,67,58716,63.0
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2,72,57737,82.0
Ava,2020,5.4,39,55976,54.0
My Octopus Teacher,2020,8.1,82,54931,81.0
Emma.,2020,6.7,71,54601,67.0
Ma Rainey's Black Bottom,2020,6.9,87,53754,69.0
The Night House,2020,6.5,68,53445,65.0
Fantasy Island,2020,4.9,22,52933,49.0
Da 5 Bloods,2020,6.5,82,51760,65.0
Hubie Halloween,2020,5.2,53,51490,52.0
Honest Thief,2020,6.0,46,50810,60.0
Retfærdighedens ryttere,2020,7.5,81,50797,75.0
Pieces of a Woman,2020,7.0,66,50148,70.0
The Call of the Wild,2020,6.7,48,49597,67.0
Bill & Ted Face the Music,2020,5.9,65,48045,59.0
The Way Back,2020,6.7,66,46841,67.0
The Croods: A New Age,2020,6.9,56,43639,69.0
Hillbilly Elegy,2020,6.7,38,42641,67.0
His House,2020,6.5,72,42557,65.0
Rebecca,2020,6.0,46,42480,60.0
The Witches,2020,5.3,47,41590,53.0
The Babysitter: Killer Queen,2020,5.8,22,40807,58.0
The Wrong Missy,2020,5.7,33,40201,57.0
Happiest Season,2020,6.6,69,39667,66.0
To All the Boys: P.S. I Still Love You,2020,6.0,54,39581,60.0
The Half of It,2020,6.9,74,38082,69.0
Escape from Pretoria,2020,6.8,56,37691,68.0
Possessor,2020,6.5,72,36766,65.0
"Quo vadis, Aida?",2020,8.0,97,33609,80.0
Busanhaeng 2: Bando,2020,5.5,51,33222,55.0
The Rental,2020,5.7,62,32641,57.0
On the Rocks,2020,6.4,73,32533,64.0
WolfWalkers,2020,8.0,87,32529,80.0
After We Collided,2020,5.0,14,32317,50.0
The Kissing Booth 2,2020,5.7,39,32294,57.0
David Attenborough: A Life on Our Planet,2020,8.9,72,32264,89.0
One Night in Miami...,2020,7.1,83,32223,71.0
All the Bright Places,2020,6.5,61,32119,65.0
Gretel & Hansel,2020,5.5,64,31306,55.0
My Spy,2020,6.3,46,31071,63.0
Mignonnes,2020,3.5,67,30834,35.0
Host,2020,6.5,73,30797,65.0
The Christmas Chronicles: Part Two,2020,6.0,51,30071,60.0
The Dissident,2020,7.9,81,29883,79.0
The Banker,2020,7.3,59,28965,73.0
American Murder: The Family Next Door,2020,7.2,67,28714,72.0
Artemis Fowl,2020,4.2,31,28547,42.0
Never Rarely Sometimes Always,2020,7.4,92,28459,74.0
The Prom,2020,5.9,55,27455,59.0
Antebellum,2020,5.8,43,27309,58.0
Shadow in the Cloud,2020,5.0,66,27223,50.0
Relic,2020,6.0,77,27179,60.0
Scoob!,2020,5.6,43,27098,56.0
The Dry,2020,6.8,69,27021,68.0
Let Him Go,2020,6.7,63,26759,67.0
The Grudge,2020,4.3,41,26600,43.0
The Lovebirds,2020,6.1,59,26319,61.0
Fatman,2020,5.9,40,25308,59.0
Sputnik,2020,6.4,61,24498,64.0
Run Hide Fight,2020,6.3,13,24322,63.0
An American Pickle,2020,5.7,58,24135,57.0
Trolls World Tour,2020,6.1,51,23698,61.0
Over the Moon,2020,6.3,60,22627,63.0
Archive,2020,6.3,67,22533,63.0
Lost Girls,2020,6.1,67,22188,61.0
Shiva Baby,2020,7.1,79,21889,71.0
You Should Have Left,2020,5.4,46,21747,54.0
The Wolf of Snow Hollow,2020,6.2,67,21389,62.0
The War with Grandpa,2020,5.6,34,21217,56.0
Alone,2020,6.2,70,21047,62.0
Capone,2020,4.7,46,21041,47.0
Love Wedding Repeat,2020,5.5,41,20801,55.0
Uncle Frank,2020,7.3,58,20785,73.0
Irresistible,2020,6.3,47,20627,63.0
Minamata,2020,7.3,55,20200,73.0
Miss Americana,2020,7.4,65,20061,74.0
The Willoughbys,2020,6.3,68,19270,63.0
The Kid Detective,2020,7.0,74,19170,70.0
Kajillionaire,2020,6.4,78,19064,64.0
The Rhythm Section,2020,5.4,45,18737,54.0
Ammonite,2020,6.5,72,18684,65.0
Jingle Jangle: A Christmas Journey,2020,6.4,69,18601,64.0
The SpongeBob Movie: Sponge on the Run,2020,5.9,65,18538,59.0
